gvkey,GroupCount,mean_F_star,median_F_star,mode_F_star,std_F_star,min_F_star,max_F_star,skewness_F_star,kurtosis_F_star
10277,2791,5144.10265827676,4978.00162316032,3942.67589877631,590.409813730108,3942.67589877631,6882.14270068633,1.07772839943805,3.33339101289878
10332,2444,2056.5462677788,1960.22907620245,1055.46375049707,599.274915839216,1055.46375049707,3833.84675015584,0.638716082633247,2.79207142999079
10385,616,11015.5101039679,10911.9700727764,7195.72133716671,1505.50176718704,7195.72133716671,15327.2467555284,0.203014717225994,2.87519514581757
10405,1924,1864.74171674299,1837.72165196813,618.826156945622,812.87343902154,618.826156945622,4097.96413320117,0.184005913545995,1.85572701851604
10411,2084,4442.70147192329,4486.84844806031,2706.72248064631,1029.66681179861,2706.72248064631,7257.51015167549,0.472519879360828,2.87063470028703
10443,771,2333.85048747637,2283.15057269134,1660.69746117002,279.59853771762,1660.69746117002,2835.64332218498,-0.101391948106093,2.08670186594598
10466,1483,3540.5954109686,3321.33112339078,1850.6841696219,830.029795586745,1850.6841696219,6381.1344505865,0.654938196769905,3.01886964508612
10507,865,26177.0874487566,26661.171786076,18157.3485335636,4831.3724747387,18157.3485335636,37170.3102697682,0.107301714803147,2.02042860680726
10519,4551,11331.9091045651,11080.4086898676,7324.3141645227,2063.51395253721,7324.3141645227,19236.2530930197,1.21348117822204,5.00286227714596
10540,1968,1401.27164155997,1361.72587902109,897.241627056296,269.450062864748,897.241627056296,2061.97359577224,0.309670728102424,1.91150514910546
10567,936,1558.12413532387,1526.07317884488,887.477136656377,213.07853918742,887.477136656377,2164.33048187306,0.375215604842881,3.88369489817864
10581,1946,2565.64598023058,2461.17241103697,1589.26040032103,503.016230988069,1589.26040032103,4109.78967156351,1.40095334453006,4.71009685742799
10614,1586,8268.3020914187,8474.12704434655,6161.8414000311,620.609787248786,6161.8414000311,9431.95083747121,-0.73597060969459,3.13414219027863
10622,2919,63587.0789095299,73567.9842631856,10516.4081340199,28626.0324233514,10516.4081340199,113545.859640646,-0.733102924154373,2.24428824044411
10639,1097,5418.52393615961,5227.14351799297,4195.38518550268,739.75184112017,4195.38518550268,7169.05620782442,0.678153153912823,2.53061519296849
10671,2582,23817.5511081798,23112.6109883968,9234.49898960441,9895.04553595106,9234.49898960441,42785.8114793529,0.211335107456548,1.64685510638375
10726,1703,10980.9578940244,11432.4372679591,6163.22604035588,1735.02901800022,6163.22604035588,14140.0189957127,-0.342419141142555,2.17309939094667
10787,904,16457.6031170998,16548.5192375752,10807.7469134829,2596.9925535151,10807.7469134829,25793.0649047321,0.457064772138206,3.59058320850206
10793,2900,6071.74437373631,5873.27501156903,4067.84745041786,968.61582112816,4067.84745041786,10320.6380806752,1.4512674709437,5.97247688538849
10839,588,278.429696543318,284.269633771926,195.177714715598,38.7455961272635,195.177714715598,390.916933638542,-0.0498753960425161,2.88950575839847
10846,2162,86774.6015024609,94289.6714205843,49958.5501354556,20494.2083177556,49958.5501354556,125779.389187834,-0.199111585917624,1.51621302942385
10860,780,13188.9480491267,13248.1370620712,10792.7643023001,873.03047268519,10792.7643023001,14718.2388698222,-0.5257996192203,2.97315984383411
10867,3569,31786.4982288397,27170.5868313884,14847.4225488828,14850.0949325252,14847.4225488828,69636.1005469543,0.804438996617706,2.48369199408733
