datadate,GroupCount,mean_V,median_V,mode_V,std_V,min_V,max_V,skewness_V,kurtosis_V
2013-12-11,284,62081.5603813535,18719.7841010759,834.182257028933,200898.698601959,834.182257028933,2472203.54554509,8.67431500739391,92.0140140962699
2013-12-12,284,62086.4408931081,18782.1467630032,834.908600300637,200781.375169657,834.908600300637,2469981.5374324,8.67262618296205,91.9681825843028
2013-12-13,284,62102.2580382724,18834.1934196883,834.650562881091,200735.656060423,834.650562881091,2468524.07689685,8.66790768125748,91.8765829423343
2013-12-16,285,61973.953433599,18804.6765304926,835.351092526875,200489.44683769,835.351092526875,2469910.60270903,8.68346329027273,92.2109954418728
2013-12-17,284,62235.0420790835,18846.9061249929,837.724908303412,200854.751580207,837.724908303412,2470388.5600311,8.67100577636982,91.9269082227494
2013-12-18,282,62669.0525213512,18912.694726535,841.114543409906,201654.225909076,841.114543409906,2474671.81680577,8.64959670532662,91.4975425920738
2013-12-19,282,62728.1865630292,18908.107168016,843.42580402341,201955.199894534,843.42580402341,2480457.82247435,8.65719531477596,91.6716886406575
2013-12-20,282,62721.0001333373,18866.3956970747,844.370773671444,202160.340084054,844.370773671444,2485939.00488766,8.66964357571458,91.9354267451801
2013-12-23,282,62742.7669979687,18929.019825774,845.497918630376,202365.174189992,845.497918630376,2490541.2109005,8.67990774194681,92.1431057375108
2013-12-24,282,62717.6433757465,18943.1494067108,845.2103748903,202329.490818622,845.2103748903,2490242.97440806,8.68071977292024,92.1582177944148
2013-12-27,280,63132.6034040697,19070.4686998233,845.265468591903,202846.520480101,845.265468591903,2487133.11897019,8.64599336312456,91.420121488695
2013-12-30,280,63140.0517344697,19084.0533666729,843.815948551486,202808.142467597,843.815948551486,2487078.881165,8.64571643896976,91.430102925868
2013-12-31,280,63113.9343415218,19126.7112555314,843.826727773284,202754.429149688,843.826727773284,2485623.01421685,8.64335909489182,91.3720316206693
2014-01-02,280,63103.0280708123,19167.003646011,843.311570385883,202727.983479182,843.311570385883,2484974.195904,8.64193681789877,91.3439564294217
2014-01-03,280,63063.5035884888,19109.6113841529,840.387867426369,202665.034889874,840.387867426369,2482507.1789147,8.63417621717885,91.1813700012998
2014-01-06,280,63047.5906709573,19117.0057712117,841.234066546176,202619.549055021,841.234066546176,2481640.84342565,8.63456350549569,91.1759436367709
2014-01-07,280,63049.7008146534,19142.7428875352,841.57461316381,202577.793423991,841.57461316381,2480507.59410299,8.63203470957458,91.1210766054168
2014-01-08,280,63037.6243667358,19120.6842399183,842.863332405672,202670.440022515,842.863332405672,2482946.34068401,8.63916154295483,91.2608298340363
