gvkey,GroupCount,mean_sigma_V,median_sigma_V,mode_sigma_V,std_sigma_V,min_sigma_V,max_sigma_V,skewness_sigma_V,kurtosis_sigma_V
5723,263,0.208971105868787,0.208971105868787,0.208971105868787,1.39042469124997e-16,0.208971105868787,0.208971105868787,-1,1
5742,4492,0.087463910784167,0.0874639107841687,0.0874639107841687,1.67939926739291e-15,0.0874639107841687,0.0874639107841687,1,1
5750,1722,0.176004015670523,0.176004015670522,0.176004015670522,6.94090955940476e-16,0.176004015670522,0.176004015670522,-1,1
5783,1413,0.297498712541081,0.29749871254108,0.29749871254108,1.38827011688492e-15,0.29749871254108,0.29749871254108,-1,1
5860,266,0.181135645584074,0.181135645584074,0.181135645584074,2.78078953144947e-17,0.181135645584074,0.181135645584074,-1,1
5862,1703,0.249637174375831,0.249637174375829,0.249637174375829,1.55476878088967e-15,0.249637174375829,0.249637174375829,-1,1
5878,1389,0.20792944315908,0.20792944315908,0.20792944315908,1.11062288886453e-16,0.20792944315908,0.20792944315908,1,1
5959,434,0.20481340433705,0.20481340433705,0.20481340433705,1.11150429801706e-16,0.20481340433705,0.20481340433705,1,1
6008,2699,0.260794555816016,0.260794555816018,0.260794555816018,2.44294326061936e-15,0.260794555816018,0.260794555816018,1,1
6034,459,0.263555217449664,0.263555217449663,0.263555217449663,6.11288918694064e-16,0.263555217449663,0.263555217449663,-1,1
6066,4872,0.1497129580108,0.149712958010796,0.149712958010796,3.49756149113473e-15,0.149712958010796,0.149712958010796,-1,1
6078,1516,0.164076733008065,0.164076733008063,0.164076733008063,1.52706038982821e-15,0.164076733008063,0.164076733008063,-1,1
6081,1874,0.132890785315836,0.132890785315835,0.132890785315835,5.83022664359092e-16,0.132890785315835,0.132890785315835,-1,1
6097,1738,0.280985051804053,0.280985051804054,0.280985051804054,1.27712394313538e-15,0.280985051804054,0.280985051804054,1,1
6104,4872,0.144581533432955,0.144581533432952,0.144581533432952,2.55377505701901e-15,0.144581533432952,0.144581533432952,-1,1
6135,1743,0.136086211291017,0.136086211291019,0.136086211291019,1.58252184017914e-15,0.136086211291019,0.136086211291019,1,1
6136,4683,0.129686119682273,0.12968611968227,0.12968611968227,3.19223204594468e-15,0.12968611968227,0.12968611968227,-1,1
6266,3031,0.129558155430714,0.129558155430712,0.129558155430712,1.7211296326785e-15,0.129558155430712,0.129558155430712,-1,1
6268,937,0.159236336353123,0.159236336353123,0.159236336353123,4.44326373663951e-16,0.159236336353123,0.159236336353123,1,1
6307,402,0.343306780549682,0.343306780549683,0.343306780549683,5.00222916289922e-16,0.343306780549683,0.343306780549683,1,1
6334,517,0.109852389861373,0.109852389861373,0.109852389861373,9.72386013737569e-17,0.109852389861373,0.109852389861373,-1,1
6335,343,0.182585623693447,0.182585623693447,0.182585623693447,2.22368994586559e-16,0.182585623693447,0.182585623693447,1,1
6338,1661,0.0934547817286392,0.0934547817286399,0.0934547817286399,6.66334427282209e-16,0.0934547817286399,0.0934547817286399,1,1
6375,3506,0.115946669401974,0.115946669401973,0.115946669401973,1.19365999464408e-15,0.115946669401973,0.115946669401973,-1,1
6435,2163,0.126315669611399,0.126315669611398,0.126315669611398,1.36033769775995e-15,0.126315669611398,0.126315669611398,-1,1
6494,4470,0.243966016358932,0.243966016358929,0.243966016358929,3.30328301367167e-15,0.243966016358929,0.243966016358929,-1,1
6502,3700,0.126904341057586,0.126904341057588,0.126904341057588,2.44282078740037e-15,0.126904341057588,0.126904341057588,1,1
6506,3505,0.278876633574803,0.278876633574797,0.278876633574797,6.38469325446461e-15,0.278876633574797,0.278876633574797,-1,1
6512,737,0.19440763316662,0.19440763316662,0.19440763316662,3.33293098861759e-16,0.19440763316662,0.19440763316662,1,1
6529,399,0.399309661476406,0.399309661476406,0.399309661476406,1.11161690216672e-16,0.399309661476406,0.399309661476406,-1,1
6649,1772,0.199168632136123,0.199168632136124,0.199168632136124,1.49922417459558e-15,0.199168632136124,0.199168632136124,1,1
6653,1984,0.244872028111896,0.244872028111894,0.244872028111894,1.91561754484456e-15,0.244872028111894,0.244872028111894,-1,1
6669,4535,0.237454782660512,0.237454782660516,0.237454782660516,3.91396771456033e-15,0.237454782660516,0.237454782660516,1,1
6730,2722,0.185095830928393,0.185095830928395,0.185095830928395,1.94324727799241e-15,0.185095830928395,0.185095830928395,1,1
6733,2537,0.251311587451045,0.251311587451044,0.251311587451044,1.22148608516337e-15,0.251311587451044,0.251311587451044,-1,1
6742,2063,0.0482261796501707,0.0482261796501704,0.0482261796501704,2.63741898030187e-16,0.0482261796501704,0.0482261796501704,-1,1
6768,2448,0.214328699911515,0.214328699911513,0.214328699911513,2.41522843541001e-15,0.214328699911513,0.214328699911513,-1,1
6771,1290,0.147770571493178,0.147770571493178,0.147770571493178,3.33196078192243e-16,0.147770571493178,0.147770571493178,1,1
6774,3702,0.131178577532526,0.131178577532527,0.131178577532527,8.32779753071673e-16,0.131178577532527,0.131178577532527,1,1
6781,4827,0.0744121508743196,0.0744121508743196,0.0744121508743196,2.77584510961459e-17,0.0744121508743196,0.0744121508743196,1,1
6821,3641,0.262818402444962,0.262818402444959,0.262818402444959,3.22008900021408e-15,0.262818402444959,0.262818402444959,-1,1
6829,3603,0.215297115982167,0.215297115982166,0.215297115982166,1.36021197929472e-15,0.215297115982166,0.215297115982166,-1,1
6865,871,0.247302462381612,0.247302462381613,0.247302462381613,9.16460242986471e-16,0.247302462381613,0.247302462381613,1,1
6946,3231,0.169739095380901,0.169739095380901,0.169739095380901,3.60878333554242e-16,0.169739095380901,0.169739095380901,-1,1
6972,1609,0.349676222699638,0.349676222699636,0.349676222699636,1.88796592227236e-15,0.349676222699636,0.349676222699636,-1,1
7017,3256,0.19561906619133,0.195619066191327,0.195619066191327,2.66494452647996e-15,0.195619066191327,0.195619066191327,-1,1
7063,1148,0.378970586268881,0.378970586268882,0.378970586268882,1.16624223174275e-15,0.378970586268882,0.378970586268882,1,1
7065,4164,0.143005691873301,0.143005691873303,0.143005691873303,1.94312363126734e-15,0.143005691873303,0.143005691873303,1,1
7085,3647,0.200433288772812,0.20043328877281,0.20043328877281,2.05419424281128e-15,0.20043328877281,0.20043328877281,-1,1
7114,2977,0.128668480453057,0.128668480453056,0.128668480453056,1.08264929990523e-15,0.128668480453056,0.128668480453056,-1,1
7116,4846,0.210094320492153,0.210094320492158,0.210094320492158,4.85772696855836e-15,0.210094320492158,0.210094320492158,1,1
7154,4849,0.157091648662421,0.157091648662418,0.157091648662418,2.74808536675407e-15,0.157091648662418,0.157091648662418,-1,1
