gvkey,GroupCount,mean_mcap,median_mcap,mode_mcap,std_mcap,min_mcap,max_mcap,skewness_mcap,kurtosis_mcap
3734,1359,2060.67907208315,2276.71965,2296.03995,922.349640309434,1.49824,3930.63295,-0.737958668739498,2.93028670592371
3735,3529,27680.5687229895,23298.68768,8273.265,15586.7393330139,6522.6278,66712.49475,0.837941310533763,2.62943772738138
3813,4867,41067.3814004963,39989.65653,32111.45445,9043.73257985155,19095.999,90045.7641,1.21184496512953,6.76077155883154
3814,1792,3094.29179685268,3168.924185,3258.5048,344.126287087861,2177.08221,3612.43537,-0.683961053725647,2.53088637056235
3835,3697,23218.9444918636,23803.80912,10452.19615,9181.49141113531,8121.1736,41784.10884,-0.014242955600869,1.62013132453919
3851,2352,2991.49710209468,1897.55232,132.21512,2790.94998421575,0,11726.97752,1.05963761663671,3.49698223041664
3863,664,1371.59278308735,1229.61542,1287.20991,418.244975603154,696.16814,2318.32833,0.615687151192775,2.10173578765392
3897,1334,7302.57098245127,7383.303135,4623.84399,1058.4131099674,3854.49777,9542.723,-0.782192173445364,3.43606222871824
3964,2325,1527.97229959355,1464.8164,231.94296,588.614556874099,193.05432,3021.92475,0.0411057633970742,2.70572693926231
3980,390,233654.298907026,238685.516525,220689.70206,25921.6542867071,154834.44864,279068.1579,-0.778882670886718,2.99941004026929
4029,3681,26755.0714283211,25588.91709,25939.43793,8278.07501544576,10148.67178,48224.70953,0.664707385438264,2.66207277678835
4040,2690,4766.32150241785,3847.94356,96.39,2441.25457209966,58.6867712,9919.907,-0.0316317665305397,2.0802425778086
4058,1994,8090.60341083751,8160.030505,8053.22615,1540.52982646768,4103.46884,11128.3526,-0.406111358969294,2.36470664501445
4060,4866,50059.9996139432,40364.85982,28976.9676,32588.646096626,5851.11018,180226.0298,2.4063181251252,8.43727619110672
4066,4711,15148.5370620739,15438.42544,8031.072,2882.0557110707,6859.15992,20868.39207,-0.395849706550754,2.5569060985903
4087,3965,46073.002250714,44505.34588,29091.0687,10677.6181820758,14566.8342,74122.56568,0.178001571125642,3.17843850585772
4093,3468,42967.3102940773,48899.54368,18903.41766,16908.5131527315,15130.40512,76196.79,-0.130828526801129,1.5027839125137
4094,785,4934.76652921019,4925.7906,4710.57184,542.008745455418,3824.4544,6334.24852,0.342633074141546,2.53911920621771
4145,2397,2467.68727524405,2614.42584,687.544,698.961085393076,546.28496,4866.89578,-0.589519879012429,3.39132706869304
