gvkey,GroupCount,mean_DD,median_DD,mode_DD,std_DD,min_DD,max_DD,skewness_DD,kurtosis_DD
14535,1141,2.78679664337895,2.86895980147987,2.1819898216798,0.39771715759079,1.82290973350338,4.49243550036706,-0.34742223599837,2.71920422891037
14538,4233,2.91433250282937,2.98262633732884,3.04116631772205,0.310084195969415,1.59315446086548,4.50536365717638,-0.339546534391918,4.79164972110746
14590,1219,3.01395317375499,3.1401635943206,2.59229975874495,0.351178688717484,1.65824803557716,3.50900300203247,-1.84032596521652,5.60000722461365
14605,3686,3.02702943566852,3.10367230852767,1.90019561633691,0.302593402498908,1.90019561633691,3.59033195143262,-1.23984226706217,4.53247530016343
14611,971,2.60897807378333,2.57621492006337,2.57089459628453,0.404432790927019,1.88358989251634,3.58504986870469,0.124672430172886,1.93931551678015
14620,4797,3.088299791249,3.13176666746523,3.12169034228123,0.238277071252845,2.23717851171467,3.83510672782398,-0.704947752460308,3.5488618465017
14624,2194,2.52129684781093,2.41136516745027,3.18152158334443,0.613450412350358,0.623595706437655,3.96280203464308,-0.36286903119539,2.49965381681361
14790,846,2.19345444132049,2.24759316497957,2.14765524876159,0.448291605671079,1.2476000254174,3.75149750545293,0.221465691083625,2.95661841303034
14793,1193,2.4052214717477,2.40567822369867,2.51312686230607,0.290566259857844,1.73991826111673,3.92698904508388,1.01551494844293,6.08075639093029
14822,1664,2.94338555860353,2.98312701171498,4.49647195060914,0.330451699338392,2.1791218283699,4.49647195060914,0.557414076371991,4.70529838433878
14894,2489,3.12668589820517,3.11885307802542,3.71022346560513,0.333690059124636,2.19150013514836,4.12490362725211,-0.139946684527389,2.72250634390046
14934,1800,2.96441484528942,3.02860447214325,2.24065449085904,0.248077498546872,2.24065449085904,3.83196988224531,-0.474286607479315,2.61099408805092
14960,1460,2.99269506374538,3.0427751141362,4.30593378821499,0.365929568769402,2.22980745695043,4.42377337370203,0.411124020489579,4.11723875571032
15055,2115,2.89475888286234,2.95081745040833,3.36391147528978,0.357651920481349,1.71542186905083,4.00673141298815,-0.83246606992522,3.85002258166867
15070,2871,2.99164912046021,3.01030963130728,3.4212766559137,0.374749762516584,1.84434663984766,4.37362005405798,-0.490870783545971,3.0903866236164
15142,2568,2.13397171887469,2.31757343129629,3.26428265318271,0.807304050700531,-0.66146930918644,4.24018117187435,-0.294692908297556,2.32173793702992
15172,1496,2.74531164034538,2.72412658142736,1.83133886484306,0.302632331909371,1.83133886484306,3.22727287583671,-0.343089936033282,2.1441396804261
15247,2564,2.92968159955907,3.03362088717548,2.06313981910937,0.320604911587135,2.06313981910937,3.72169363660279,-0.702914413373465,2.49411824106965
15261,349,1.4837733001059,1.46908266343899,1.46908266343899,0.0407407977802557,1.46908266338502,1.61239798492832,2.70629339909262,8.63412587162819
15319,2069,2.99659369776643,3.0305841404305,1.99964897049454,0.271865919393482,1.99964897049454,3.39473076149676,-1.1392421845008,4.44369310539978
15334,4853,3.13043393112994,3.18096440626766,4.87861331752611,0.263435974033042,2.26844727722427,4.87861331752611,0.274387890851714,7.3810963215065
15362,1049,3.19622711160316,3.20939794803717,2.76806944417235,0.1366947375735,2.76806944417235,3.52605274341778,-0.354149007255765,3.06422906923142
15406,477,2.30819045122921,2.33221207695328,2.04264680643554,0.152765941795702,2.04264668861249,2.57277083376417,-0.239471097934375,2.56353616915677
15508,4502,2.87566170340684,2.89691573278301,3.32237901174047,0.409877596580819,1.5978428375918,4.24340756072765,-0.367812380481014,3.29774346874445
15509,3897,3.02639126769182,3.20621673818868,3.38828186487899,0.431895056415477,1.12534641666233,3.90082138177654,-1.3225418039295,4.03564681193278
15521,3187,2.91297454838577,2.9266993654995,3.26641310804345,0.340189113654363,1.91113634729108,4.04770311698439,-0.260292730164075,2.75800203426414
15545,2718,2.92223258602125,2.92727309856622,2.41021252236587,0.20694344079459,2.41021252236587,3.44393182555134,-0.307379713242371,2.12792412191417
15580,321,2.90121112748829,2.98637906953623,2.33267779402594,0.379542103033886,1.94615865159255,3.39891579537347,-0.532081212213186,2.13643083674397
15581,2323,3.0792187476825,3.04797163624192,2.21400603094132,0.45077604784058,2.2047371797461,4.44417205973302,-0.0460471205560388,2.82535841664007
15582,2685,2.9121650170772,2.871481479967,4.13388877981284,0.438172159753427,2.19703429773974,4.13388877981284,0.392261163688993,2.52804637615236
15598,4814,2.92263950119446,2.95358936457774,3.33651654329754,0.36035824443704,1.84597985053304,4.72815032725976,-0.135114123345901,3.04771301870798
