datadate,GroupCount,mean_mcap,median_mcap,mode_mcap,std_mcap,min_mcap,max_mcap,skewness_mcap,kurtosis_mcap
2016-11-21,166,70881.274017577,23560.46007,870.54067,135835.60846102,870.54067,1106904.61098,4.57015027857042,28.8507725499067
2016-11-22,166,71017.3088948679,24025.513545,873.57497,136190.682694964,873.57497,1109361.66894,4.57983668754084,28.9148916387372
2016-11-23,166,70839.0961442883,23744.911619,866.29265,135731.431626788,866.29265,1103628.5337,4.57635958134184,28.8649608012428
2016-11-25,166,71339.7279125547,23990.1142265,876.9127,136296.410534596,876.9127,1107314.12064,4.54971331336253,28.614615423634
2016-11-28,166,71033.3408328017,23812.499625,863.86521,135882.183827135,863.86521,1113252.01071,4.57615715128917,29.0244124163456
2016-11-29,166,71112.7295896229,23961.6658865,863.56178,135810.896448437,863.56178,1111613.97207,4.57139129483204,28.9757434331655
2016-11-30,166,71192.7219135955,23995.87995,864.16864,136780.730643173,864.16864,1119804.16527,4.60231186434412,29.2230333256394
2016-12-01,166,71137.32722458,23866.146425,864.16864,137267.893983817,864.16864,1127584.84881,4.63355238001579,29.5578821989576
2016-12-02,166,71232.2785621769,23996.415225,855.36917,137335.424761356,855.36917,1122875.48772,4.61159996563339,29.243178392521
2016-12-05,166,71558.8878066928,23956.20765,863.86521,137150.651735626,863.86521,1111204.46241,4.56059066469417,28.5819752618082
2016-12-06,166,72117.0618393359,23966.57615,881.46415,138791.252664146,881.46415,1109975.93343,4.55654818211515,28.281503183097
2016-12-07,167,72966.8696993422,24633.54994,893.60135,140955.015355932,893.60135,1127994.35847,4.58364289606779,28.540083672909
2016-12-08,167,72995.5842431094,24521.34124,891.47734,140259.134237134,891.47734,1114071.03003,4.53497859148202,27.9391880041768
2016-12-09,166,73551.0202522383,24823.54656,912.71744,140634.657771876,912.71744,1110999.70758,4.49869748565655,27.5493095768148
2016-12-12,167,72965.0249880315,24540.85446,882.9813,138888.181671999,882.9813,1092981.28254,4.4495070315313,26.9967473317197
2016-12-13,168,73990.4573546643,24571.404875,902.40082,139530.84507039,902.40082,1092776.52771,4.41600965843669,26.6752647824195
2016-12-14,168,73355.0350544756,24628.60486,894.51164,138036.17198768,894.51164,1081924.52172,4.40190351737566,26.5784435107054
2016-12-15,168,73043.5234361375,24533.10363,920.60662,137529.871419943,920.60662,1080695.99274,4.41056496357658,26.7150472307039
2016-12-16,168,73016.9447935371,24283.7008055,904.82826,137371.92488297,904.82826,1065134.62566,4.36771684474964,26.0794606498081
2016-12-19,168,73136.6130357192,24088.0657115,882.07101,137546.823463438,882.07101,1068820.2126,4.35652456664882,25.9838810297043
2016-12-20,168,73103.4484254589,23843.6658295,893.60135,137493.350435316,893.60135,1078648.44444,4.38653075066027,26.4256185000958
2016-12-21,166,73902.5011985229,24589.50574,881.76758,138294.019298748,881.76758,1080900.74757,4.3737159194344,26.2499872083436
2016-12-22,165,74134.8705565459,25079.525,863.56178,138609.133141498,863.56178,1074758.10267,4.35303988632743,25.9148992457558
2016-12-23,166,73693.2181547045,24524.914475,872.66468,137522.406079766,872.66468,1063087.07736,4.3298105344907,25.6463097982667
2016-12-28,167,72854.5998481179,24035.8248,885.71217,137019.646642255,885.71217,1068410.70294,4.38301549739512,26.254396181396
2016-12-29,167,73021.0509033988,24073.8992,888.74647,137448.08528087,888.74647,1075577.12199,4.39692754581079,26.4472838245093
2016-12-30,167,72999.8429431003,24117.4128,893.29792,137462.095517873,893.29792,1073529.57369,4.40002461201677,26.4589404070517
2017-01-03,168,73071.0593336389,24005.04852,909.07628,138304.390929459,909.07628,1082538.78621,4.44278805711331,26.8520762854193
2017-01-04,168,73848.3763075131,24273.392345,921.51691,139748.044238199,921.51691,1093595.54703,4.43760028090726,26.794799828613
2017-01-05,168,74397.7299284202,24575.952204,890.56705,141426.334230547,890.56705,1124308.77153,4.49867109093795,27.6110446666347
2017-01-06,167,74386.8571656915,24759.2384,887.83618,140563.567856635,887.83618,1107314.12064,4.44756419745856,27.0186301939554
2017-01-09,167,74128.0065553497,25112.7864,874.78869,139936.04803815,874.78869,1108747.40445,4.45104598030297,27.1666335489765
2017-01-10,167,74284.2553982384,25297.7192,889.0499,140210.551379001,889.0499,1115709.06867,4.46814715499582,27.4066572138992
2017-01-11,167,74620.4398193846,25323.354,890.87048,141360.33317216,890.87048,1122670.73289,4.47831882240309,27.4462134456339
2017-01-12,167,74719.3194100985,24995.376,876.00241,141347.066511235,876.00241,1120827.93942,4.4692060962352,27.3306815790229
2017-01-13,167,74778.298193326,25237.798234,886.0156,141578.536321298,886.0156,1129222.88745,4.49404000188439,27.6687094555842
2017-01-17,166,75127.6138154315,25525.113075,870.54067,141747.3635403,870.54067,1131679.94541,4.49605630638828,27.7366071291553
2017-01-18,166,75192.5862889668,25566.5484085,872.05782,142321.451318773,872.05782,1137208.32582,4.51908742175883,27.9612742360751
2017-01-19,165,75257.7959119535,25589.795756,865.38236,142171.857006237,865.38236,1136594.06133,4.51914138190577,27.9761668427191
2017-01-20,166,75221.9655993863,25730.177879,830.18448,142169.322915881,830.18448,1138436.8548,4.5173813036795,27.9966072033365
2017-01-23,166,75197.2294665144,25745.2748295,822.59873,142458.76568484,822.59873,1146422.29317,4.55263934594997,28.3912296539626
2017-01-24,166,75319.477946806,25594.745388,842.92854,142854.819322759,842.92854,1152769.6929,4.58999397808786,28.7525437499777
2017-01-25,166,75907.6913582671,25821.241925,848.39028,143627.851171024,848.39028,1153179.20256,4.57378953327233,28.5306513863459
2017-01-26,166,76028.9466919514,25718.8672535,850.21086,144277.30967687,850.21086,1163212.18923,4.59375930209097,28.7841276439734
2017-01-27,166,75755.9288018722,25707.7832005,850.51429,144105.461980779,850.51429,1162188.41508,4.59837237297091,28.8249967563414
2017-01-30,166,75304.3061987532,25634.640558,827.45361,143276.918365407,827.45361,1161164.64093,4.60942793637094,29.03417739693
2017-01-31,167,75050.7779701647,25681.011857,825.3296,143104.063647118,825.3296,1167102.531,4.64752099276186,29.5048875160902
2017-02-01,168,74570.5832121724,25855.5171045,837.77023,142592.93914929,837.77023,1165259.73753,4.66480640872883,29.7158323543987
2017-02-02,168,74519.8845686207,25594.305527,823.50902,142299.020256253,823.50902,1165464.49236,4.66406266229467,29.761476065999
2017-02-03,168,74734.0676475615,25580.543625,832.30849,142267.336591426,832.30849,1156045.77018,4.62707477256017,29.2663464635585
2017-02-06,168,74553.4795869672,25545.535303,817.13699,142743.189978549,817.13699,1169969.09862,4.67816673863521,29.9019244032753
2017-02-07,169,74161.471065129,25693.277122,831.70163,141618.294555064,831.70163,1166897.77617,4.68906477951259,30.1632741461898
2017-02-08,170,74206.0934000467,26226.491543,822.59873,141526.177931908,822.59873,1169764.34379,4.69801528313343,30.2580035621653
2017-02-09,169,74394.0598356501,25986.323085,832.00506,141670.47231574,832.00506,1163416.94406,4.67826011746526,29.9925967807154
2017-02-10,168,75062.9414962105,26423.0723095,844.74912,142205.317109626,844.74912,1167307.28583,4.66943671958944,29.9123352212743
2017-02-13,168,75979.9935718414,26685.619037,850.51429,143266.657746841,850.51429,1175087.96937,4.65020524371442,29.7615920210259
2017-02-14,168,76018.4534263345,26607.3089895,858.40347,142751.456988321,858.40347,1163007.4344,4.61828092134338,29.3497764738162
2017-02-15,168,76309.2050328284,26843.44865,866.59608,142741.69672031,866.59608,1156660.03467,4.58938528025592,29.039483707385
2017-02-16,167,76805.0841742928,26880.5264,862.04463,143207.035461208,862.04463,1155636.26052,4.55900331661288,28.7105128439276
2017-02-17,167,76772.6968318379,27049.1416,820.47472,142775.623234135,820.47472,1148879.35113,4.53065204182648,28.4122741568554
2017-02-21,168,76623.8049513938,27009.2486125,840.19767,141597.928078693,840.19767,1156045.77018,4.51844219042115,28.5532138469767
2017-02-22,168,76620.5957100023,26993.4041365,863.25835,141331.655173862,863.25835,1156864.7895,4.51666788724466,28.5944761062471
2017-02-23,168,76604.8769723517,27128.740977,862.95492,141133.723885317,862.95492,1146831.80283,4.47785274634216,28.0599677887467
2017-02-24,168,76392.786647282,27373.919943,856.58289,140745.960028138,856.58289,1150312.63494,4.49591334578129,28.3610211948855
2017-02-27,167,76564.2801169998,27241.73608,857.79661,140673.792899481,857.79661,1145193.76419,4.47755833090785,28.1123424078727
2017-02-28,168,76028.950708359,27266.80975,853.54859,139663.895866777,853.54859,1131475.19058,4.45700524526101,27.7930038104731
2017-03-01,167,77088.5203506197,27657.59922,867.20294,141174.091512101,867.20294,1142122.44174,4.45617699777193,27.7770222565682
2017-03-02,166,77002.9979776251,27866.27267,865.07893,140433.019169588,865.07893,1125946.81017,4.40955998563589,27.2153136797207
2017-03-03,166,77002.0915487069,27878.63271,863.25835,140693.461322479,863.25835,1132089.45507,4.43604218382564,27.5277290584057
2017-03-06,166,76795.7022253793,27939.51083,859.92062,139877.883891943,859.92062,1118985.14595,4.40022374777085,27.094260534917
2017-03-07,166,76650.4781919807,27850.12379,850.51429,139765.805400214,850.51429,1119804.16527,4.4035684611641,27.1475789025361
2017-03-08,166,76413.0732080406,28002.2512515,846.87313,139467.94529263,846.87313,1123080.24255,4.42547419812174,27.4580457473292
2017-03-09,167,76000.3022005091,28154.47466,40.86152,139148.028929674,40.86152,1121237.44908,4.42702048785869,27.4881524983038
2017-03-10,167,76359.3766951155,28089.66482,38.05424,139651.736262779,38.05424,1120213.67493,4.40758583356124,27.2051384022379
2017-03-13,167,76564.5104469925,28246.2886,38.05424,140028.098426518,38.05424,1122261.22323,4.41751156858108,27.289851624973
2017-03-14,168,75355.8130187144,27628.3455235,35.8708,138268.981258162,35.8708,1105471.32717,4.39838428001159,27.0573388424901
2017-03-15,168,75873.4288680443,27670.346074,44.60456,139353.195390634,44.60456,1117961.3718,4.42193010306694,27.3396243667946
2017-03-16,167,76759.5132671478,27776.41726,63.9436,141062.654197907,63.9436,1137617.83548,4.451685210435,27.7186597566699
2017-03-17,168,76508.4031712991,27620.440358,62.384,141078.033619111,62.384,1153383.95739,4.51467575316686,28.5337798118681
2017-03-20,170,75844.5385894848,27237.0075815,816.83356,142266.229920193,816.83356,1198225.26516,4.67671440352325,30.6779248525057
2017-03-21,170,75248.4118709074,27056.653052,810.46153,141344.322860223,810.46153,1180616.34978,4.64049209816719,30.1183770868515
2017-03-22,170,75167.427891901,26682.4833205,810.76496,141562.662525974,810.76496,1192492.12992,4.68328053164913,30.7383904164471
2017-03-23,170,75008.0139592433,26668.6389105,822.2953,139708.595337684,822.2953,1154612.48637,4.57054304311513,29.264027798892
2017-03-24,170,75032.1048579911,26500.7991005,822.59873,139407.711539263,822.59873,1146627.048,4.54141455725185,28.8851367839586
2017-03-27,170,75031.1427616685,26601.544579,828.66733,139170.972498437,828.66733,1139665.38378,4.5197302394426,28.5969767083129
2017-03-28,170,75519.0279461165,27175.954726,839.28738,139664.233742555,839.28738,1135775.04201,4.48599695466834,28.1411665064278
2017-03-29,170,75406.4677092108,27493.455885,835.64622,139408.962888734,835.64622,1131270.43575,4.48025214633795,28.0250725004236
2017-03-30,169,75839.5663349503,27773.290866,847.78342,139757.935620076,847.78342,1129427.64228,4.46416862488008,27.8169502766885
