gvkey,GroupCount,mean_E,median_E,mode_E,std_E,min_E,max_E,skewness_E,kurtosis_E
14822,1640,2527.71531977656,2786.73857520069,1094.80655681206,748.606261553538,1094.80655681206,4140.2572799231,-0.216258111100305,1.81699493606598
14894,2287,65417.7040326768,67722.956633945,17482.3902519974,21004.339906518,17482.3902519974,193881.494446382,0.788240931674934,4.77893136728997
14934,1797,13183.6042321187,12663.7963120396,7780.63806085755,4112.39854693715,7780.63806085755,23484.6332104845,0.36433894784895,1.86746233496842
14960,1427,887.737204303383,842.651047979518,464.533441785424,245.11957799394,464.533441785424,1856.67803241273,0.380208409764417,2.2919795454068
15055,2108,14792.2115829976,15410.1455661657,330.479646781578,5998.16675833966,330.479646781578,28722.4075745156,-0.365787755521188,2.40757121431309
15070,2851,14862.3801959394,12829.2500475011,1594.66994100368,10292.506839831,1594.66994100368,51524.5192360608,0.802096117418215,3.16596585830383
15142,2561,1028.73275836422,710.0471167385,317.886445008085,656.684413138316,317.886445008085,3244.73796822315,0.979677330729968,3.079443643706
15172,1494,18214.225723108,16671.2140611666,8805.24474358898,4449.6167641623,8805.24474358898,28310.0835323904,0.612694050978237,2.22533550007959
15247,2562,13968.8229298153,14062.1267357499,5435.2580480729,3195.38715858719,5435.2580480729,23001.6824526559,0.0484818403456071,3.02953156368074
15261,76,2955.24781458666,2524.72782633023,477.680446264563,1269.61889416313,477.680446264563,7499.64386857535,1.40979961018217,5.59546825712411
15319,2067,12849.1409673467,12476.280088224,7978.09633079945,3044.20060469631,7978.09633079945,20954.1106284036,0.645891224233148,2.83605698851082
15334,4825,4781.35473250379,4500.4732130319,1918.81121043698,2120.91681044586,1918.81121043698,14567.6201109897,1.36323319738681,5.51354511109573
15362,1047,54622.7804709537,52701.3072476601,46554.2686130276,5961.84112410552,46554.2686130276,69659.7900634081,1.01085364708438,2.81626316471747
15406,404,937.77546372918,961.456907154555,116.68935490325,177.267681482671,116.68935490325,1334.57185372348,-0.230742660779582,3.31385252566075
15508,4488,14775.2199777101,13637.6166693965,5859.68080633397,4900.34678514066,5859.68080633397,34787.8436465799,0.588492080754183,2.51522725572549
15509,3893,403085.208667804,412057.392351062,195374.676489414,73722.2012996002,195374.676489414,602270.216441009,-0.565268274904948,3.45877177340288
15521,3178,3744.53676884119,3245.53873111838,1202.99652921562,1769.25370643466,1202.99652921562,11337.322802191,2.03415240421749,6.90027502446025
15545,2716,31795.0008144013,31766.6427436869,19945.4076349529,5095.14415795077,19945.4076349529,49338.1366573416,0.25066702245022,2.96298893169407
15580,317,102122.601429188,124287.414895898,6445.46165985847,58694.4434196515,6445.46165985847,261667.192103355,-0.254086447033813,2.0256539427999
15581,2137,19081.1366078076,19124.5880915896,7054.92137913435,6393.78236935176,7054.92137913435,40085.8060787807,0.287575958674988,1.9713106251503
15582,2652,28723.667439233,27227.3513098891,7213.82976525245,8362.82006832816,7213.82976525245,48287.1090619564,-0.0109294835700936,1.76146373628611
15598,4798,20781.5708978502,14494.7703098268,8584.70731964393,10500.5606420606,8584.70731964393,66165.4176262459,1.04919088956914,2.93598214349956
