gvkey,GroupCount,mean_F,median_F,mode_F,std_F,min_F,max_F,skewness_F,kurtosis_F
10190,2748,6339.3908367904,7621.5,2964.7555,3347.04791219028,2462.7435,11660,0.0726651300242301,1.25075557584689
10247,1911,4535.01458267923,4678.7105,3955.8325,630.009900689257,2639.415,5598.263,-0.67042588183382,2.87654309745416
10277,2791,3488.76746685776,3075.3,5580.55,885.363316488295,2682.9,5580.55,1.48689379565,3.59156915573772
10332,2444,1048.298301964,1030.4,1153.45,153.34982203016,713.15,1488.65,0.481274729019662,3.75555598346357
10385,616,8159.52645292871,7565.07311002798,7355.4229265281,1404.14731528867,6700.4525740147,11922.3139184257,1.71115688422631,5.30501329315964
10405,1924,1255.47767671518,1260.2,1346.3,147.154752046183,990.7,1585.15,-0.0753511880967344,2.46353233252495
10411,2084,3220.22526607484,3652.4225,3695.9095,859.101862154352,1925.031,4677.0235,-0.462598692355874,1.67254564353974
10443,771,2188.44293125811,2254.5,2344,181.041971487906,1883,2422,-0.229117362888825,1.48705804068437
10466,1483,3123.10293324343,3101.5,4176.5,865.975345761506,1870.35,5345,0.513590653149809,2.71403509776457
10507,865,14588.401734104,14459.5,14168.5,907.416065682422,13140,16106.5,0.164798718366685,2.03638795978561
10519,4551,8180.05130740497,7463.5,7049,1760.88035535736,5880,12530,0.932259489121418,2.94253472902828
10540,1968,675.93234425813,643.436,641.09,133.951251508355,483.609,1033.6685,0.838204527996994,3.43270476457585
10567,936,1437.42405288461,1418.709,1275.5025,120.637467977211,1275.5025,1739.814,0.680095791641495,2.81642971974427
10581,1946,1743.57512101747,1777.656,1765.7455,216.821615972384,1220.7,2048.4225,-0.888898550041277,3.03732626796933
10614,1586,6276.64168726356,6472.46075,5894.9815,507.846921378833,4982.1415,7235.5545,-0.488694635336009,2.68519225996368
10622,2919,33386.9892627612,34624.7485,34134.2555,8193.67957206408,16895.593,47008.126,-0.626444363015573,2.47386402443049
10639,1097,3961.75660893346,3872,3872,602.386541710342,3129,5062.5,0.530335439787989,2.02242934824797
10671,2582,11732.0183544251,11426.4750531323,15128.2409998135,4625.42596281192,4778.975911212,19093.0585296217,0.0722440667136433,1.54407791775228
10726,1703,4932.28220698766,4638.454,4782.8745,837.954195233831,4029.643,7536.501,1.61532961401729,5.23094466385397
10787,904,10005.0226769911,8908,8657.5,2199.1627589366,8223,19346,2.17325669362331,8.61749831213177
10793,2900,4170.36655172414,4157,4203.5,297.872292849993,3702.5,4826.5,0.363788437923402,2.19589982509297
10839,588,223.425721938775,225.551,203.6255,23.3012799657309,183.216,264.9095,0.271386798121936,2.23548653602953
10846,2162,28398.082170444,27951.507,30776.096,1937.37371931133,25186.028,33248.753,0.450294055469947,2.27036290941176
10860,780,7480.29871794872,7552.5,6548.5,1020.81695485807,5133,9270.5,-0.285705947999169,2.13708695614048
10867,3569,13955.0168114318,13577.5,11781,1865.96332100293,11698.5,18552,0.858506271865007,2.60208277260007
10884,448,1219.39378125,1215.275,1170.004,50.4973281242157,1168.2955,1327.684,1.07988743513147,3.25683255745479
10894,846,1903.79435460993,1867.926,1806.302,130.630042535437,1747.02,2227.141,1.01988286969716,3.49013684781433
10903,3172,24385.1938839849,26283.5,8496.5,11170.1901749146,7172.5,45683.5,-0.044986833033925,1.80410809502119
10920,3311,15721.8649954696,16452,15969.5,4092.01056481823,9583.5,24461.5,0.09450752763688,1.9374042820842
10983,4586,32042.9360008722,28131,28065.5,13666.9820428761,12996,65825,0.644772150303455,2.88882085442952
10984,1609,35503.9763828465,35577.5,37676.5,2327.14962996588,26425,39386.5,-1.86467370895228,8.19165936314335
